date,views,missing_pages
2016-02-10,205208039.0,12380
2016-02-11,193416564.0,12057
2016-02-12,194177170.0,12261
2016-02-13,192276221.0,12375
2016-02-14,211466529.0,12417
2016-02-15,207519361.0,12382
2016-02-16,211010410.0,12253
2016-02-17,201956011.0,12140
2016-02-18,192152661.0,12196
2016-02-19,183651953.0,12196
2016-02-20,185163270.0,12137
2016-02-21,200941237.0,12148
2016-02-22,208283727.0,11998
2016-02-23,196004049.0,11868
2016-02-24,197209636.0,12116
2016-02-25,194521561.0,11935
2016-02-26,185454402.0,11707
2016-02-27,182381912.0,11740
2016-02-28,204120228.0,11917
2016-02-29,249667941.0,11923
2016-03-01,201047747.0,11730
2016-03-02,200563308.0,11724
2016-03-03,196834683.0,11755
2016-03-04,192450474.0,11431
2016-03-05,197200442.0,11629
2016-03-06,216100027.0,11665
2016-03-07,213313612.0,11485
2016-03-08,201873314.0,11616
2016-03-09,199181170.0,11661
2016-03-10,183324546.0,11738
2016-03-11,182088212.0,11850
2016-03-12,172942998.0,11725
2016-03-13,184862267.0,11582
2016-03-14,194108014.0,11527
2016-03-15,185886406.0,11329
2016-03-16,191617170.0,11440
2016-03-17,181108824.0,10926
2016-03-18,171774943.0,11312
2016-03-19,166883089.0,11123
2016-03-20,178636275.0,11229
2016-03-21,179926054.0,11123
2016-03-22,174347083.0,11116
2016-03-23,175254427.0,10939
2016-03-24,169890048.0,10872
2016-03-25,176172842.0,11006
2016-03-26,170906840.0,10927
2016-03-27,184801364.0,10853
2016-03-28,193986409.0,10774
2016-03-29,185982089.0,10765
2016-03-30,178310604.0,10528
2016-03-31,172608736.0,10593
2016-04-01,171239032.0,10385
2016-04-02,186060062.0,10489
2016-04-03,204487747.0,10744
2016-04-04,211473312.0,10279
2016-04-05,203423671.0,10024
2016-04-06,203797651.0,10053
2016-04-07,186282665.0,10103
2016-04-08,178550540.0,10007
2016-04-09,177459441.0,10175
2016-04-10,194964603.0,10152
2016-04-11,193293207.0,10036
2016-04-12,187243303.0,10059
2016-04-13,185296917.0,9950
2016-04-14,186238889.0,9727
2016-04-15,182632510.0,9916
2016-04-16,175727267.0,10130
2016-04-17,192603398.0,9998
2016-04-18,196053156.0,9561
2016-04-19,196112112.0,9961
2016-04-20,194539109.0,9718
2016-04-21,210332477.0,9614
2016-04-22,201599104.0,9560
2016-04-23,188065316.0,9880
2016-04-24,207086664.0,9730
2016-04-25,201484690.0,9555
2016-04-26,188651072.0,9679
2016-04-27,182713228.0,9371
2016-04-28,180640130.0,9743
2016-04-29,173168924.0,9457
2016-04-30,171841691.0,9629
2016-05-01,185741092.0,9705
2016-05-02,192639424.0,9560
2016-05-03,193802154.0,9265
2016-05-04,191476751.0,9259
2016-05-05,183126300.0,9499
2016-05-06,182792351.0,9295
2016-05-07,177553055.0,9204
2016-05-08,188560754.0,9207
2016-05-09,196590986.0,9325
2016-05-10,190891959.0,9073
2016-05-11,183070942.0,9181
2016-05-12,183806773.0,9183
2016-05-13,174725681.0,8996
2016-05-14,180077817.0,9320
2016-05-15,196927219.0,9222
2016-05-16,198547749.0,9096
2016-05-17,187898585.0,9247
2016-05-18,185542642.0,8995
2016-05-19,182410481.0,8971
2016-05-20,170974468.0,9320
2016-05-21,177694821.0,9216
2016-05-22,187118151.0,9012
2016-05-23,194260810.0,8845
2016-05-24,183104305.0,8936
2016-05-25,179406902.0,8974
2016-05-26,176607133.0,8909
2016-05-27,168733669.0,9055
2016-05-28,172405929.0,8787
2016-05-29,184408809.0,9001
2016-05-30,187837426.0,8622
2016-05-31,179873392.0,8431
2016-06-01,178197634.0,8351
2016-06-02,176254678.0,8324
2016-06-03,170047082.0,8488
2016-06-04,184567945.0,8226
2016-06-05,197272573.0,8433
2016-06-06,196423061.0,8670
2016-06-07,186334612.0,8477
2016-06-08,185666214.0,8484
2016-06-09,181882782.0,8390
2016-06-10,182101860.0,8380
2016-06-11,189295869.0,7981
2016-06-12,209584469.0,8433
2016-06-13,210393273.0,8083
2016-06-14,203588352.0,8045
2016-06-15,190905301.0,8071
2016-06-16,186318796.0,8152
2016-06-17,177549283.0,8224
2016-06-18,173831342.0,7971
2016-06-19,193337062.0,8302
2016-06-20,205705581.0,8074
2016-06-21,187441220.0,7930
2016-06-22,191098818.0,7966
2016-06-23,179887886.0,7728
2016-06-24,184596218.0,7882
2016-06-25,179612468.0,7677
2016-06-26,193578818.0,7992
2016-06-27,201211135.0,7774
2016-06-28,188579999.0,7896
2016-06-29,180012720.0,7738
2016-06-30,185223214.0,7892
2016-07-01,177357892.0,7612
2016-07-02,182827621.0,7696
2016-07-03,188089526.0,8107
2016-07-04,187687907.0,7855
2016-07-05,188773564.0,7800
2016-07-06,204979788.0,7446
2016-07-07,188461822.0,7649
2016-07-08,170801688.0,7946
2016-07-09,173793775.0,7508
2016-07-10,203480758.0,7836
2016-07-11,204495628.0,7569
2016-07-12,185724031.0,7210
2016-07-13,180363880.0,7441
2016-07-14,176203527.0,7193
2016-07-15,171289723.0,7684
2016-07-16,172104038.0,7313
2016-07-17,183280447.0,7819
2016-07-18,187057420.0,7523
2016-07-19,184866661.0,7415
2016-07-20,215056777.0,7310
2016-07-21,250692036.0,7384
2016-07-22,274524545.0,7153
2016-07-23,272127362.0,6985
2016-07-24,295947073.0,7443
2016-07-25,308034171.0,7159
2016-07-26,307818824.0,7087
2016-07-27,301125520.0,7116
2016-07-28,297528285.0,6818
2016-07-29,287681198.0,6873
2016-07-30,275764063.0,6826
2016-07-31,296798491.0,7154
2016-08-01,303782821.0,7023
2016-08-02,296411171.0,6964
2016-08-03,272388954.0,6793
2016-08-04,256023929.0,6917
2016-08-05,255586900.0,6799
2016-08-06,264807634.0,6677
2016-08-07,273924381.0,7169
2016-08-08,299841650.0,6879
2016-08-09,292467811.0,6833
2016-08-10,305062526.0,6813
2016-08-11,296863757.0,6712
2016-08-12,300479820.0,6735
2016-08-13,291160213.0,6366
2016-08-14,304248864.0,6722
2016-08-15,316944994.0,6655
2016-08-16,289053248.0,6693
2016-08-17,198634475.0,6599
2016-08-18,196721016.0,6601
2016-08-19,192518563.0,6413
2016-08-20,192030105.0,6060
2016-08-21,212852693.0,6275
2016-08-22,206453309.0,6135
2016-08-23,201502262.0,6010
2016-08-24,193194271.0,6137
2016-08-25,188642867.0,5978
2016-08-26,181450937.0,6077
2016-08-27,185721143.0,5988
2016-08-28,207623769.0,6310
2016-08-29,224132038.0,6022
2016-08-30,232287594.0,6076
2016-08-31,231057291.0,6091
2016-09-01,229933273.0,5842
2016-09-02,228693546.0,6126
2016-09-03,233095016.0,5673
2016-09-04,247492957.0,5991
2016-09-05,229437155.0,5999
2016-09-06,218399282.0,5638
2016-09-07,203263032.0,5529
2016-09-08,190130238.0,5606
2016-09-09,182782849.0,5882
2016-09-10,191367220.0,5637
2016-09-11,208843471.0,5577
2016-09-12,202974764.0,5205
2016-09-13,207992855.0,5233
2016-09-14,203774895.0,5466
2016-09-15,203378761.0,5243
2016-09-16,182030170.0,5334
2016-09-17,186703675.0,5279
2016-09-18,204543176.0,5613
2016-09-19,213588818.0,5560
2016-09-20,195207409.0,5455
2016-09-21,198926923.0,5600
2016-09-22,197178476.0,5426
2016-09-23,189604436.0,5457
2016-09-24,183879938.0,5138
2016-09-25,201230454.0,5627
2016-09-26,206164111.0,5355
2016-09-27,205412213.0,5518
2016-09-28,200747326.0,5556
2016-09-29,195159698.0,5464
2016-09-30,184006480.0,5481
2016-10-01,192428241.0,4989
2016-10-02,207238472.0,5497
2016-10-03,218196194.0,5434
2016-10-04,210230913.0,5423
2016-10-05,222779565.0,5245
2016-10-06,222702101.0,5480
2016-10-07,184970397.0,5489
2016-10-08,194833849.0,4932
2016-10-09,214491187.0,5355
2016-10-10,215744159.0,5226
2016-10-11,196584962.0,5018
2016-10-12,197214704.0,5069
2016-10-13,199247266.0,4941
2016-10-14,191223582.0,4952
2016-10-15,194936569.0,4720
2016-10-16,216747296.0,4928
2016-10-17,213659854.0,4762
2016-10-18,203691602.0,4858
2016-10-19,202093239.0,4803
2016-10-20,201985759.0,4980
2016-10-21,191243589.0,4881
2016-10-22,188904939.0,4355
2016-10-23,205961510.0,4882
2016-10-24,211459512.0,5143
2016-10-25,202437652.0,4864
2016-10-26,193496816.0,4964
2016-10-27,193471137.0,4829
2016-10-28,181983203.0,4739
2016-10-29,182250694.0,4424
2016-10-30,200259651.0,4768
2016-10-31,204749721.0,4807
2016-11-01,198481557.0,4739
2016-11-02,201020111.0,4471
2016-11-03,205776107.0,4539
2016-11-04,195642325.0,4665
2016-11-05,200956095.0,4405
2016-11-06,220756464.0,4626
2016-11-07,219602206.0,4386
2016-11-08,223633826.0,4529
2016-11-09,302272416.0,4866
2016-11-10,242919627.0,4709
2016-11-11,227545350.0,4632
2016-11-12,216379781.0,4234
2016-11-13,235823494.0,4661
2016-11-14,239362801.0,4422
2016-11-15,219647321.0,4639
2016-11-16,213753535.0,4498
2016-11-17,205958680.0,4357
2016-11-18,196470020.0,4380
2016-11-19,197134716.0,4169
2016-11-20,208314036.0,4502
2016-11-21,215190999.0,4401
2016-11-22,215130671.0,4153
2016-11-23,203161092.0,4374
2016-11-24,193389139.0,4295
2016-11-25,186656031.0,4372
2016-11-26,207985197.0,3779
2016-11-27,222771224.0,4416
2016-11-28,206084091.0,3979
2016-11-29,216160779.0,4071
2016-11-30,197217697.0,4229
2016-12-01,195854181.0,4060
2016-12-02,190003747.0,4243
2016-12-03,203603885.0,3675
2016-12-04,214750844.0,4290
2016-12-05,213185641.0,4231
2016-12-06,210783397.0,4103
2016-12-07,203624320.0,4130
2016-12-08,199839817.0,3962
2016-12-09,192940799.0,4179
2016-12-10,192419499.0,3625
2016-12-11,203692120.0,3581
2016-12-12,206326135.0,3538
2016-12-13,196807277.0,3802
2016-12-14,205300346.0,4108
2016-12-15,188688156.0,4078
2016-12-16,179074620.0,3566
2016-12-17,181199211.0,3559
2016-12-18,208515640.0,3666
2016-12-19,220854276.0,3652
2016-12-20,212933744.0,3268
2016-12-21,201119631.0,3236
2016-12-22,196860226.0,3853
2016-12-23,194884736.0,3584
2016-12-24,197644557.0,3189
2016-12-25,215333402.0,3744
2016-12-26,237068067.0,3918
2016-12-27,237248109.0,3701
2016-12-28,230782936.0,3822
2016-12-29,237886569.0,3826
2016-12-30,207608296.0,3635
2016-12-31,209321794.0,3465
2017-01-01,223998270.0,3451
2017-01-02,239887000.0,3395
2017-01-03,229134548.0,3580
2017-01-04,214580800.0,3478
2017-01-05,208549454.0,3630
2017-01-06,212885789.0,3353
2017-01-07,218661925.0,3094
2017-01-08,231515179.0,3395
2017-01-09,249118826.0,3492
2017-01-10,225859724.0,3388
2017-01-11,226172518.0,3580
2017-01-12,213238624.0,3542
2017-01-13,215039754.0,3390
2017-01-14,224200996.0,3301
2017-01-15,242652712.0,3732
2017-01-16,240508526.0,3839
2017-01-17,224902117.0,3679
2017-01-18,219580696.0,3570
2017-01-19,216313984.0,3357
2017-01-20,234300761.0,3471
2017-01-21,233687637.0,3134
2017-01-22,252214364.0,3372
2017-01-23,247733117.0,3352
2017-01-24,236652334.0,3374
2017-01-25,229610846.0,3431
2017-01-26,223489152.0,3052
2017-01-27,212250225.0,3364
2017-01-28,230964849.0,3001
2017-01-29,248059696.0,3423
2017-01-30,242721291.0,3411
2017-01-31,222484519.0,3421
2017-02-01,222853123.0,3209
2017-02-02,212937625.0,3425
2017-02-03,207760194.0,3221
2017-02-04,214322081.0,3121
2017-02-05,236254807.0,3253
2017-02-06,248878123.0,3036
2017-02-07,216927768.0,3190
2017-02-08,214139409.0,3012
2017-02-09,212964627.0,3307
2017-02-10,199305684.0,3204
2017-02-11,214509125.0,2814
2017-02-12,235517553.0,3283
2017-02-13,235138213.0,3170
2017-02-14,213066715.0,3324
2017-02-15,211495106.0,3302
2017-02-16,202136720.0,3195
2017-02-17,193883528.0,3344
2017-02-18,204945544.0,2777
2017-02-19,219394655.0,3261
2017-02-20,224626373.0,3060
2017-02-21,212635379.0,3240
2017-02-22,210691973.0,3263
2017-02-23,202142516.0,3267
2017-02-24,193572214.0,3223
2017-02-25,202933570.0,2861
2017-02-26,225404852.0,3240
2017-02-27,256568573.0,3066
2017-02-28,212372978.0,3108
2017-03-01,202037985.0,3393
2017-03-02,193906362.0,3128
2017-03-03,188375060.0,3251
2017-03-04,194767252.0,2861
2017-03-05,211463844.0,3379
2017-03-06,206882579.0,3312
2017-03-07,199118908.0,3063
2017-03-08,200586367.0,3108
2017-03-09,191685006.0,2769
2017-03-10,175724862.0,3278
2017-03-11,187190351.0,2975
2017-03-12,205816934.0,3416
2017-03-13,197162966.0,3277
2017-03-14,188748880.0,3108
2017-03-15,184608531.0,3175
2017-03-16,177174945.0,3269
2017-03-17,182282273.0,3298
2017-03-18,185693281.0,2962
2017-03-19,193420577.0,3127
2017-03-20,189401242.0,3324
2017-03-21,182506002.0,2966
2017-03-22,175331922.0,2583
2017-03-23,167470647.0,3174
2017-03-24,160801383.0,3227
2017-03-25,167874349.0,2938
2017-03-26,180934590.0,3415
2017-03-27,176932375.0,3421
2017-03-28,177098645.0,3316
2017-03-29,176992313.0,3243
2017-03-30,167043116.0,3159
2017-03-31,160754215.0,3298
2017-04-01,163055365.0,3008
2017-04-02,177256786.0,3307
2017-04-03,186207563.0,3499
2017-04-04,179830335.0,3361
2017-04-05,175434207.0,3266
2017-04-06,173957053.0,3075
2017-04-07,163591786.0,3069
2017-04-08,167880820.0,3191
2017-04-09,178081524.0,3195
2017-04-10,179003220.0,2733
2017-04-11,162001367.0,2623
2017-04-12,169934399.0,3012
2017-04-13,170069680.0,2911
2017-04-14,167768003.0,2991
2017-04-15,174327313.0,2714
2017-04-16,186903112.0,3211
2017-04-17,195062802.0,3067
2017-04-18,182693023.0,2975
2017-04-19,183624482.0,3044
2017-04-20,173958331.0,3016
2017-04-21,172099396.0,3085
2017-04-22,181988910.0,2794
2017-04-23,191410148.0,2931
2017-04-24,188816178.0,2863
2017-04-25,168892994.0,3400
2017-04-26,173443423.0,3227
2017-04-27,166706760.0,3508
2017-04-28,155449829.0,3468
2017-04-29,163318250.0,2878
2017-04-30,172510729.0,3255
2017-05-01,189408177.0,3379
2017-05-02,178221707.0,3266
2017-05-03,176812468.0,3383
2017-05-04,172965648.0,3135
2017-05-05,163454640.0,3220
2017-05-06,168210235.0,3250
2017-05-07,184235048.0,3437
2017-05-08,187267928.0,3349
2017-05-09,189762349.0,3318
2017-05-10,185250068.0,3347
2017-05-11,180719807.0,3403
2017-05-12,163647711.0,3398
2017-05-13,166760787.0,3076
2017-05-14,178781638.0,3371
2017-05-15,174883590.0,3364
2017-05-16,170303202.0,3364
2017-05-17,169457257.0,3313
2017-05-18,166535396.0,3186
2017-05-19,156577813.0,3121
2017-05-20,158959584.0,3247
2017-05-21,172979480.0,3343
2017-05-22,186972713.0,3216
2017-05-23,178513064.0,3332
2017-05-24,159015161.0,3457
2017-05-25,150347651.0,3427
2017-05-26,141820741.0,3232
2017-05-27,143418416.0,3118
2017-05-28,155769550.0,3528
2017-05-29,167342255.0,3406
2017-05-30,165345597.0,3351
2017-05-31,177861596.0,3402
2017-06-01,155384376.0,3071
2017-06-02,142779101.0,3556
2017-06-03,154316326.0,3102
2017-06-04,161702327.0,3452
2017-06-05,162691289.0,3290
2017-06-06,159718215.0,3413
2017-06-07,160410779.0,3345
2017-06-08,157974671.0,3274
2017-06-09,150661038.0,3382
2017-06-10,150955011.0,3166
2017-06-11,171017235.0,3441
2017-06-12,163201952.0,3282
2017-06-13,159470180.0,3791
2017-06-14,148510529.0,3893
2017-06-15,147786017.0,3934
2017-06-16,140264296.0,3859
2017-06-17,143603548.0,3766
2017-06-18,150013679.0,3688
2017-06-19,151918841.0,3447
2017-06-20,147837976.0,3487
2017-06-21,152006580.0,3599
2017-06-22,143554196.0,3872
2017-06-23,138647814.0,3769
2017-06-24,141846796.0,3796
2017-06-25,149112918.0,3801
2017-06-26,142557977.0,3655
2017-06-27,138865049.0,3560
2017-06-28,142468289.0,3647
2017-06-29,148058699.0,3576
2017-06-30,134500861.0,3707
2017-07-01,141833990.0,3904
2017-07-02,150098886.0,3913
2017-07-03,149666936.0,3776
2017-07-04,148579331.0,3669
2017-07-05,144945244.0,3823
2017-07-06,141534503.0,3837
2017-07-07,136353957.0,3947
2017-07-08,141263807.0,3927
2017-07-09,150065341.0,3849
2017-07-10,150170989.0,3735
2017-07-11,146801239.0,3610
2017-07-12,144435790.0,3673
2017-07-13,144307463.0,3789
2017-07-14,136650508.0,3761
2017-07-15,142369210.0,3597
2017-07-16,153364176.0,1037
2017-07-17,154295461.0,3170
2017-07-18,142892098.0,3088
2017-07-19,140259004.0,4045
2017-07-20,137461014.0,3969
2017-07-21,133577835.0,3977
2017-07-22,140119981.0,3943
2017-07-23,150459411.0,3839
2017-07-24,150351610.0,2622
2017-07-25,146260160.0,1047
2017-07-26,140679789.0,3429
2017-07-27,137475996.0,3688
2017-07-28,132494397.0,3927
2017-07-29,136308902.0,3725
2017-07-30,147320206.0,4066
2017-07-31,150067135.0,3790
2017-08-01,140510359.0,3759
2017-08-02,139777366.0,2967
2017-08-03,136165099.0,2986
2017-08-04,131913565.0,3842
2017-08-05,131895017.0,3795
2017-08-06,143034246.0,3758
2017-08-07,149088594.0,3798
2017-08-08,146601589.0,3727
2017-08-09,146642062.0,3729
2017-08-10,143600939.0,3777
2017-08-11,135980097.0,3777
2017-08-12,141922119.0,3595
2017-08-13,148676920.0,3679
2017-08-14,152191991.0,3724
2017-08-15,157564268.0,3596
2017-08-16,153750311.0,3734
2017-08-17,147384628.0,3945
2017-08-18,138167523.0,3817
2017-08-19,136748018.0,3973
2017-08-20,147513392.0,4170
2017-08-21,152316844.0,3934
2017-08-22,146654846.0,3794
2017-08-23,147868709.0,1059
2017-08-24,140309766.0,1092
2017-08-25,137225882.0,1063
2017-08-26,139028747.0,3471
2017-08-27,155939179.0,1069
2017-08-28,160846148.0,1955
2017-08-29,153346249.0,1304
2017-08-30,147921236.0,2724
2017-08-31,148184826.0,1576
2017-09-01,146683058.0,3520
2017-09-02,144881045.0,3676
2017-09-03,166062400.0,3717
2017-09-04,166791506.0,3195
2017-09-05,162190588.0,2657
2017-09-06,172354146.0,1775
2017-09-07,180731284.0,3467
2017-09-08,136754670.0,1061
2017-09-09,132359512.0,3332
2017-09-10,141863949.0,5578
